,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
18,Acinetobacter~phage~Ac42,Unassigned,Unassigned,Unassigned,32_15,Clustered/Singleton,1,VC_32_15,1,0.0,1.0,0.0,1,1,1,1.0
19,Acinetobacter~phage~Acj61,Unassigned,Unassigned,Unassigned,32_1,Clustered/Singleton,1,VC_32_1,1,0.0,1.0,0.0,1,1,1,1.0
20,Acinetobacter~phage~Acj9,Unassigned,Unassigned,Unassigned,32_17,Clustered,2,VC_32_17,2,0.0159,0.95601882,0.0152,1,1,1,1.0
21,Acinetobacter~phage~Bphi-B1251,Unassigned,Unassigned,Unassigned,38_0,Clustered,2,VC_38_0,2,0.1695,0.94632739,0.1604,1,1,1,1.0
22,Acinetobacter~phage~Fri1,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,10,VC_28_0,10,0.6274,1.0,0.6274,2,2,2,1.0
23,Acinetobacter~phage~IME_AB3,Unassigned,Unassigned,Unassigned,1_0,Clustered,8,VC_1_0,8,0.6014,1.0,0.6014,3,2,2,1.0
24,Acinetobacter~phage~LZ35,Unassigned,Unassigned,Unassigned,25_0,Clustered,4,VC_25_0,4,0.6103,0.99997061,0.6103,2,2,2,1.0
25,Acinetobacter~phage~Petty,Unassigned,Unassigned,Unassigned,28_0,Clustered,10,VC_28_0,10,0.6274,1.0,0.6274,2,2,2,1.0
26,Acinetobacter~phage~YMC-13-01-C62,Caudovirales,Myoviridae,Ap22virus,25_0,Clustered,4,VC_25_0,4,0.6103,0.99997061,0.6103,2,2,2,1.0
27,Acinetobacter~phage~YMC11/12/R2315,Unassigned,Unassigned,Unassigned,25_0,Clustered,4,VC_25_0,4,0.6103,0.99997061,0.6103,2,2,2,1.0
28,Acinetobacter~phage~ZZ1,Unassigned,Unassigned,Unassigned,32_17,Clustered,2,VC_32_17,2,0.0159,0.95601882,0.0152,1,1,1,1.0
29,Acinetobacter~phage~phiAB1,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,10,VC_28_0,10,0.6274,1.0,0.6274,2,2,2,1.0
30,Acinetobacter~phage~phiAB6,Unassigned,Unassigned,Unassigned,28_0,Clustered,10,VC_28_0,10,0.6274,1.0,0.6274,2,2,2,1.0
31,Acinetobacter~phage~vB_AbaM_Acibel004,Unassigned,Unassigned,Unassigned,41_0,Clustered,2,VC_41_0,2,0.1676,0.9515898,0.1594,1,1,1,1.0
32,Acinetobacter~phage~vB_AbaM_IME200,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,10,VC_28_0,10,0.6274,1.0,0.6274,2,2,2,1.0
33,Acinetobacter~phage~vB_AbaM_phiAbaA1,Unassigned,Unassigned,Unassigned,41_0,Clustered,2,VC_41_0,2,0.1676,0.9515898,0.1594,1,1,1,1.0
34,Acinetobacter~phage~vB_AbaP_Acibel007,Unassigned,Unassigned,Unassigned,28_0,Clustered,10,VC_28_0,10,0.6274,1.0,0.6274,2,2,2,1.0
35,Acinetobacter~phage~vB_AbaP_PD-6A3,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,10,VC_28_0,10,0.6274,1.0,0.6274,2,2,2,1.0
36,Acinetobacter~phage~vB_AbaP_PD-AB9,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,10,VC_28_0,10,0.6274,1.0,0.6274,2,2,2,1.0
37,Acinetobacter~phage~vB_AbaS_TRS1,Unassigned,Unassigned,Unassigned,38_0,Clustered,2,VC_38_0,2,0.1695,0.94632739,0.1604,1,1,1,1.0
38,Acinetobacter~virus~133,Caudovirales,Myoviridae,Unassigned,32_16,Clustered/Singleton,1,VC_32_16,1,0.0,1.0,0.0,1,1,1,1.0
39,Actinomyces~virus~Av1,Caudovirales,Podoviridae,Unassigned,48_0,Clustered,2,VC_48_0,2,0.0931,0.93846104,0.0873,2,1,1,1.0
40,Aeromonas~phage~Aes012,Caudovirales,Myoviridae,Secunda5virus,33_1,Clustered,5,VC_33_1,5,0.1023,0.99999994,0.1023,1,1,1,0.9
41,Aeromonas~phage~Aes508,Caudovirales,Myoviridae,Secunda5virus,33_1,Clustered,5,VC_33_1,5,0.1023,0.99999994,0.1023,1,1,1,0.9
42,Aeromonas~phage~CC2,Unassigned,Unassigned,Unassigned,34_0,Clustered,2,VC_34_0,2,0.034,0.95681396,0.0325,1,2,2,1.0
43,Aeromonas~phage~PX29,Unassigned,Unassigned,Unassigned,34_1,Clustered,3,VC_34_1,3,0.0605,0.99854375,0.0604,1,2,2,1.0
44,Aeromonas~phage~pAh6-C,Unassigned,Unassigned,Unassigned,56_0,Clustered,5,VC_56_0,5,1.0,1.0,1.0,1,1,1,1.0
45,Aeromonas~phage~phiAS4,Caudovirales,Myoviridae,Secunda5virus,33_1,Clustered,5,VC_33_1,5,0.1023,0.99999994,0.1023,1,1,1,0.9
46,Aeromonas~phage~phiAS5,Unassigned,Unassigned,Unassigned,34_1,Clustered,3,VC_34_1,3,0.0605,0.99854375,0.0604,1,2,2,1.0
47,Aeromonas~phage~phiAS7,Unassigned,Unassigned,Unassigned,58_0,Clustered,5,VC_58_0,5,0.5139,0.99999993,0.5139,1,1,1,1.0
48,Aeromonas~virus~25,Caudovirales,Myoviridae,Secunda5virus,33_1,Clustered,5,VC_33_1,5,0.1023,0.99999994,0.1023,1,1,1,0.9
49,Aeromonas~virus~31,Caudovirales,Myoviridae,Secunda5virus,33_0,Clustered,2,VC_33_0,2,0.0242,0.94837674,0.023,2,1,1,1.0
50,Aeromonas~virus~44RR2,Caudovirales,Myoviridae,Biquartavirus,33_0,Clustered,2,VC_33_0,2,0.0242,0.94837674,0.023,2,1,1,1.0
51,Aeromonas~virus~65,Caudovirales,Myoviridae,Unassigned,34_0,Clustered,2,VC_34_0,2,0.034,0.95681396,0.0325,1,2,2,1.0
52,Aeromonas~virus~Aeh1,Caudovirales,Myoviridae,Unassigned,34_1,Clustered,3,VC_34_1,3,0.0605,0.99854375,0.0604,1,2,2,1.0
53,Aeromonas~virus~phiO18P,Caudovirales,Myoviridae,Hp1virus,61_0,Clustered,7,VC_61_0,7,0.5604,1.0,0.5604,2,2,2,1.0
54,Aggregatibacter~phage~S1249,Unassigned,Unassigned,Unassigned,5_0,Clustered,2,VC_5_0,2,0.5548,0.93597967,0.5192,1,1,1,1.0
55,Archaeal~BJ1~virus,Unassigned,Unassigned,Unassigned,66_0,Clustered,2,VC_66_0,2,0.8418,0.72985431,0.6144,1,1,1,1.0
56,Arthrobacter~phage~BarretLemon,Caudovirales,Myoviridae,Chippewavirus,67_0,Clustered,2,VC_67_0,2,1.0,1.0,1.0,2,1,1,1.0
57,Arthrobacter~phage~KellEzio,Caudovirales,Siphoviridae,Kelleziovirus,69_0,Clustered,2,VC_69_0,2,1.0,1.0,1.0,1,1,1,1.0
58,Arthrobacter~phage~Kitkat,Caudovirales,Siphoviridae,Kelleziovirus,69_0,Clustered,2,VC_69_0,2,1.0,1.0,1.0,1,1,1,1.0
59,Arthrobacter~phage~vB_ArtM-ArV1,Caudovirales,Myoviridae,Arvunavirus,67_0,Clustered,2,VC_67_0,2,1.0,1.0,1.0,2,1,1,1.0
60,Bacillus~phage~AR9,Unassigned,Unassigned,Unassigned,84_0,Clustered/Singleton,1,VC_84_0,1,0.0,1.0,0.0,1,1,1,1.0
61,Bacillus~phage~Aurora,Unassigned,Unassigned,Unassigned,47_0,Clustered,4,VC_47_0,4,0.643,0.99991908,0.6429,1,1,1,1.0
62,Bacillus~phage~BM5,Unassigned,Unassigned,Unassigned,85_0,Clustered/Singleton,1,VC_85_0,1,0.0,1.0,0.0,1,1,1,1.0
63,Bacillus~phage~BPS10C,Unassigned,Unassigned,Unassigned,86_1,Clustered,4,VC_86_1,4,0.0699,0.99906452,0.0698,2,2,2,1.0
64,Bacillus~phage~BPS13,Caudovirales,Myoviridae,Wphvirus,86_1,Clustered,4,VC_86_1,4,0.0699,0.99906452,0.0698,2,2,2,1.0
65,Bacillus~phage~Bam35c,Unassigned,Tectiviridae,Betatectivirus,107_0,Clustered,4,VC_107_0,4,1.0,1.0,1.0,1,1,1,1.0
66,Bacillus~phage~Belinda,Unassigned,Unassigned,Unassigned,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
67,Bacillus~phage~CP-51,Caudovirales,Myoviridae,Cp51virus,87_1,Clustered,3,VC_87_1,3,0.5686,0.99717439,0.567,1,1,1,1.0
68,Bacillus~phage~CampHawk,Caudovirales,Myoviridae,Spo1virus,87_0,Clustered,2,VC_87_0,2,0.2645,0.95308502,0.2521,1,1,1,1.0
69,Bacillus~phage~Claudi,Unassigned,Unassigned,Unassigned,47_0,Clustered,4,VC_47_0,4,0.643,0.99991908,0.6429,1,1,1,1.0
70,Bacillus~phage~DIGNKC,Unassigned,Unassigned,Unassigned,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
71,Bacillus~phage~DirtyBetty,Unassigned,Unassigned,Unassigned,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
72,Bacillus~phage~Eyuki,Caudovirales,Myoviridae,Wphvirus,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
73,Bacillus~phage~Fah,Unassigned,Unassigned,Unassigned,109_0,Clustered,3,VC_109_0,3,0.4145,0.99791945,0.4136,2,2,2,1.0
74,Bacillus~phage~GIL16c,Unassigned,Tectiviridae,Betatectivirus,107_0,Clustered,4,VC_107_0,4,1.0,1.0,1.0,1,1,1,1.0
75,Bacillus~phage~Gamma,Unassigned,Unassigned,Unassigned,109_0,Clustered,3,VC_109_0,3,0.4145,0.99791945,0.4136,2,2,2,1.0
76,Bacillus~phage~Hakuna,Caudovirales,Myoviridae,Wphvirus,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
77,Bacillus~phage~JL,Caudovirales,Myoviridae,Cp51virus,87_1,Clustered,3,VC_87_1,3,0.5686,0.99717439,0.567,1,1,1,1.0
78,Bacillus~phage~Kida,Unassigned,Unassigned,Unassigned,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
79,Bacillus~phage~MG-B1,Unassigned,Unassigned,Unassigned,47_0,Clustered,4,VC_47_0,4,0.643,0.99991908,0.6429,1,1,1,1.0
80,Bacillus~phage~Megatron,Caudovirales,Myoviridae,Wphvirus,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
81,Bacillus~phage~Nemo,Unassigned,Unassigned,Unassigned,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
82,Bacillus~phage~Nigalana,Unassigned,Unassigned,Unassigned,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
83,Bacillus~phage~NotTheCreek,Unassigned,Unassigned,Unassigned,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
84,Bacillus~phage~Page,Caudovirales,Podoviridae,Pagevirus,101_0,Clustered,6,VC_101_0,6,0.8761,0.99999833,0.8761,2,2,2,1.0
85,Bacillus~phage~Palmer,Caudovirales,Podoviridae,Pagevirus,101_0,Clustered,6,VC_101_0,6,0.8761,0.99999833,0.8761,2,2,2,1.0
86,Bacillus~phage~Pascal,Caudovirales,Podoviridae,Pagevirus,101_0,Clustered,6,VC_101_0,6,0.8761,0.99999833,0.8761,2,2,2,1.0
87,Bacillus~phage~Pavlov,Unassigned,Unassigned,Unassigned,101_0,Clustered,6,VC_101_0,6,0.8761,0.99999833,0.8761,2,2,2,1.0
88,Bacillus~phage~Pony,Caudovirales,Podoviridae,Pagevirus,101_0,Clustered,6,VC_101_0,6,0.8761,0.99999833,0.8761,2,2,2,1.0
89,Bacillus~phage~Pookie,Caudovirales,Podoviridae,Pagevirus,101_0,Clustered,6,VC_101_0,6,0.8761,0.99999833,0.8761,2,2,2,1.0
90,Bacillus~phage~SP-15,Unassigned,Unassigned,Unassigned,125_0,Clustered/Singleton,1,VC_125_0,1,0.0,1.0,0.0,1,1,1,1.0
91,Bacillus~phage~SPBc2,Caudovirales,Siphoviridae,Spbetavirus,88_0,Clustered/Singleton,1,VC_88_0,1,0.0,1.0,0.0,1,1,1,1.0
92,Bacillus~phage~SPP1,Unassigned,Unassigned,Unassigned,119_0,Clustered,2,VC_119_0,2,0.0939,0.94715141,0.089,1,1,1,1.0
93,Bacillus~phage~SageFayge,Unassigned,Unassigned,Unassigned,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
94,Bacillus~phage~SalinJah,Unassigned,Unassigned,Unassigned,86_1,Clustered,4,VC_86_1,4,0.0699,0.99906452,0.0698,2,2,2,1.0
95,Bacillus~phage~Shanette,Caudovirales,Myoviridae,Cp51virus,87_1,Clustered,3,VC_87_1,3,0.5686,0.99717439,0.567,1,1,1,1.0
96,Bacillus~phage~Slash,Caudovirales,Siphoviridae,Slashvirus,115_0,Clustered,4,VC_115_0,4,0.9991,0.89435023,0.8935,1,1,1,1.0
97,Bacillus~phage~Stahl,Caudovirales,Siphoviridae,Slashvirus,115_0,Clustered,4,VC_115_0,4,0.9991,0.89435023,0.8935,1,1,1,1.0
98,Bacillus~phage~Staley,Caudovirales,Siphoviridae,Slashvirus,115_0,Clustered,4,VC_115_0,4,0.9991,0.89435023,0.8935,1,1,1,1.0
99,Bacillus~phage~Stills,Caudovirales,Siphoviridae,Slashvirus,115_0,Clustered,4,VC_115_0,4,0.9991,0.89435023,0.8935,1,1,1,1.0
100,Bacillus~phage~Stitch,Unassigned,Unassigned,Unassigned,47_0,Clustered,4,VC_47_0,4,0.643,0.99991908,0.6429,1,1,1,1.0
101,Bacillus~phage~TP21-L,Caudovirales,Siphoviridae,Tp21virus,112_0,Clustered,2,VC_112_0,2,0.7709,0.85557782,0.6596,1,1,1,1.0
102,Bacillus~phage~W.Ph.,Caudovirales,Myoviridae,Wphvirus,86_1,Clustered,4,VC_86_1,4,0.0699,0.99906452,0.0698,2,2,2,1.0
103,Bacillus~phage~Wip1,Unassigned,Tectiviridae,Betatectivirus,107_0,Clustered,4,VC_107_0,4,1.0,1.0,1.0,1,1,1,1.0
104,Bacillus~phage~Zuko,Unassigned,Unassigned,Unassigned,86_0,Clustered,12,VC_86_0,12,0.3124,1.0,0.3124,2,2,2,1.0
105,Bacillus~phage~vB_BanS-Tsamsa,Unassigned,Unassigned,Unassigned,88_4,Clustered/Singleton,1,VC_88_4,1,0.0,1.0,0.0,1,1,1,1.0
106,Bacillus~virus~1,Caudovirales,Myoviridae,Svunavirus,103_0,Clustered,2,VC_103_0,2,0.4191,0.94328228,0.3953,1,1,1,1.0
107,Bacillus~virus~250,Caudovirales,Siphoviridae,Cecivirus,91_0,Clustered,2,VC_91_0,2,0.414,0.94523105,0.3913,1,1,1,1.0
108,Bacillus~virus~AP50,Unassigned,Tectiviridae,Betatectivirus,107_0,Clustered,4,VC_107_0,4,1.0,1.0,1.0,1,1,1,1.0
109,Bacillus~virus~Andromeda,Caudovirales,Siphoviridae,Andromedavirus,132_0,Clustered,7,VC_132_0,7,1.0,1.0,1.0,1,1,1,1.0
110,Bacillus~virus~BMBtp2,Caudovirales,Siphoviridae,Tp21virus,112_0,Clustered,2,VC_112_0,2,0.7709,0.85557782,0.6596,1,1,1,1.0
111,Bacillus~virus~Blastoid,Caudovirales,Siphoviridae,Andromedavirus,132_0,Clustered,7,VC_132_0,7,1.0,1.0,1.0,1,1,1,1.0
112,Bacillus~virus~Curly,Caudovirales,Siphoviridae,Andromedavirus,132_0,Clustered,7,VC_132_0,7,1.0,1.0,1.0,1,1,1,1.0
113,Bacillus~virus~Eoghan,Caudovirales,Siphoviridae,Andromedavirus,132_0,Clustered,7,VC_132_0,7,1.0,1.0,1.0,1,1,1,1.0
114,Bacillus~virus~Finn,Caudovirales,Siphoviridae,Andromedavirus,132_0,Clustered,7,VC_132_0,7,1.0,1.0,1.0,1,1,1,1.0
115,Bacillus~virus~G,Caudovirales,Myoviridae,Unassigned,125_1,Clustered/Singleton,1,VC_125_1,1,0.0,1.0,0.0,1,1,1,1.0
116,Bacillus~virus~Glittering,Caudovirales,Siphoviridae,Andromedavirus,132_0,Clustered,7,VC_132_0,7,1.0,1.0,1.0,1,1,1,1.0
117,Bacillus~virus~IEBH,Caudovirales,Siphoviridae,Cecivirus,91_0,Clustered,2,VC_91_0,2,0.414,0.94523105,0.3913,1,1,1,1.0
118,Bacillus~virus~Riggi,Caudovirales,Siphoviridae,Andromedavirus,132_0,Clustered,7,VC_132_0,7,1.0,1.0,1.0,1,1,1,1.0
119,Bacillus~virus~SPO1,Caudovirales,Myoviridae,Spo1virus,87_0,Clustered,2,VC_87_0,2,0.2645,0.95308502,0.2521,1,1,1,1.0
120,Bacillus~virus~Wbeta,Caudovirales,Siphoviridae,Wbetavirus,109_0,Clustered,3,VC_109_0,3,0.4145,0.99791945,0.4136,2,2,2,1.0
121,Bacteriophage~APSE-2,Unassigned,Unassigned,Unassigned,134_0,Clustered,2,VC_134_0,2,0.1427,0.95127465,0.1357,1,2,2,1.0
122,Bacteriophage~Lily,Unassigned,Unassigned,Unassigned,138_0,Clustered,2,VC_138_0,2,0.0789,0.5,0.0395,1,1,1,1.0
123,Bacteroides~phage~B124-14,Unassigned,Unassigned,Unassigned,117_0,Clustered,2,VC_117_0,2,0.5048,0.94532786,0.4772,1,1,1,1.0
124,Bacteroides~phage~B40-8,Unassigned,Unassigned,Unassigned,117_0,Clustered,2,VC_117_0,2,0.5048,0.94532786,0.4772,1,1,1,1.0
125,Bdellovibrio~phage~phiMH2K,Unassigned,Microviridae,Bdellomicrovirus,141_0,Clustered,10,VC_141_0,10,0.7334,1.0,0.7334,3,2,1,1.0
126,Brevibacillus~phage~Abouo,Caudovirales,Myoviridae,Abouovirus,144_0,Clustered,4,VC_144_0,4,0.7464,0.9999468,0.7463,2,1,1,1.0
127,Brevibacillus~phage~Davies,Caudovirales,Myoviridae,Abouovirus,144_0,Clustered,4,VC_144_0,4,0.7464,0.9999468,0.7463,2,1,1,1.0
128,Brevibacillus~phage~Jimmer1,Caudovirales,Myoviridae,Jimmervirus,144_0,Clustered,4,VC_144_0,4,0.7464,0.9999468,0.7463,2,1,1,1.0
129,Brevibacillus~phage~Osiris,Caudovirales,Myoviridae,Jimmervirus,144_0,Clustered,4,VC_144_0,4,0.7464,0.9999468,0.7463,2,1,1,1.0
130,Brevibacillus~phage~Sundance,Unassigned,Unassigned,Unassigned,88_3,Clustered/Singleton,1,VC_88_3,1,0.0,1.0,0.0,1,1,1,1.0
131,Brucella~phage~Pr,Caudovirales,Podoviridae,Prtbvirus,150_0,Clustered,2,VC_150_0,2,0.6161,0.94995671,0.5853,1,1,1,1.0
132,Brucella~phage~Tb,Caudovirales,Podoviridae,Prtbvirus,150_0,Clustered,2,VC_150_0,2,0.6161,0.94995671,0.5853,1,1,1,1.0
133,Burkholderia~phage~AH2,Unassigned,Unassigned,Unassigned,15_0,Clustered,7,VC_15_0,7,0.2201,0.9963576,0.2193,1,1,1,0.9524
134,Burkholderia~phage~Bcep176,Unassigned,Unassigned,Unassigned,158_0,Clustered,5,VC_158_0,5,0.4531,0.99999992,0.4531,2,2,2,1.0
135,Burkholderia~phage~BcepB1A,Unassigned,Unassigned,Unassigned,166_0,Clustered,2,VC_166_0,2,0.0584,0.94928222,0.0555,1,1,1,1.0
136,Burkholderia~phage~BcepNazgul,Unassigned,Unassigned,Unassigned,15_0,Clustered,7,VC_15_0,7,0.2201,0.9963576,0.2193,1,1,1,0.9524
137,Burkholderia~phage~JG068,Unassigned,Unassigned,Unassigned,57_0,Clustered,10,VC_57_0,10,0.6016,1.0,0.6016,2,2,2,1.0
138,Burkholderia~phage~KL1,Caudovirales,Siphoviridae,Septima3virus,1_0,Clustered,8,VC_1_0,8,0.6014,1.0,0.6014,3,2,2,1.0
139,Burkholderia~phage~KL3,Unassigned,Unassigned,Unassigned,60_0,Clustered,29,VC_60_0,29,0.8456,1.0,0.8456,2,2,2,1.0
140,Burkholderia~phage~KS14,Unassigned,Unassigned,Unassigned,60_0,Clustered,29,VC_60_0,29,0.8456,1.0,0.8456,2,2,2,1.0
141,Burkholderia~phage~KS5,Unassigned,Unassigned,Unassigned,60_0,Clustered,29,VC_60_0,29,0.8456,1.0,0.8456,2,2,2,1.0
142,Burkholderia~phage~KS9,Unassigned,Unassigned,Unassigned,158_0,Clustered,5,VC_158_0,5,0.4531,0.99999992,0.4531,2,2,2,1.0
143,Burkholderia~phage~ST79,Unassigned,Unassigned,Unassigned,60_0,Clustered,29,VC_60_0,29,0.8456,1.0,0.8456,2,2,2,1.0
144,Burkholderia~virus~Bcep1,Caudovirales,Myoviridae,Bcep78virus,27_0,Clustered,4,VC_27_0,4,0.615,0.9999706,0.6149,1,1,1,1.0
145,Burkholderia~virus~Bcep22,Caudovirales,Podoviridae,Bcep22virus,174_0,Clustered,4,VC_174_0,4,0.7779,0.99991416,0.7779,1,1,1,1.0
146,Burkholderia~virus~Bcep43,Caudovirales,Myoviridae,Bcep78virus,27_0,Clustered,4,VC_27_0,4,0.615,0.9999706,0.6149,1,1,1,1.0
147,Burkholderia~virus~Bcep781,Caudovirales,Myoviridae,Bcep78virus,27_0,Clustered,4,VC_27_0,4,0.615,0.9999706,0.6149,1,1,1,1.0
148,Burkholderia~virus~BcepNY3,Caudovirales,Myoviridae,Bcep78virus,27_0,Clustered,4,VC_27_0,4,0.615,0.9999706,0.6149,1,1,1,1.0
149,Burkholderia~virus~Bcepil02,Caudovirales,Podoviridae,Bcep22virus,174_0,Clustered,4,VC_174_0,4,0.7779,0.99991416,0.7779,1,1,1,1.0
150,Burkholderia~virus~Bcepmigl,Caudovirales,Podoviridae,Bcep22virus,174_0,Clustered,4,VC_174_0,4,0.7779,0.99991416,0.7779,1,1,1,1.0
151,Burkholderia~virus~DC1,Caudovirales,Podoviridae,Bcep22virus,174_0,Clustered,4,VC_174_0,4,0.7779,0.99991416,0.7779,1,1,1,1.0
152,Burkholderia~virus~phi1026b,Caudovirales,Siphoviridae,E125virus,158_0,Clustered,5,VC_158_0,5,0.4531,0.99999992,0.4531,2,2,2,1.0
153,Burkholderia~virus~phi52237,Caudovirales,Myoviridae,P2virus,60_0,Clustered,29,VC_60_0,29,0.8456,1.0,0.8456,2,2,2,1.0
154,Burkholderia~virus~phi6442,Caudovirales,Siphoviridae,E125virus,158_0,Clustered,5,VC_158_0,5,0.4531,0.99999992,0.4531,2,2,2,1.0
155,Burkholderia~virus~phiE122,Caudovirales,Myoviridae,P2virus,60_0,Clustered,29,VC_60_0,29,0.8456,1.0,0.8456,2,2,2,1.0
156,Burkholderia~virus~phiE125,Caudovirales,Siphoviridae,E125virus,158_0,Clustered,5,VC_158_0,5,0.4531,0.99999992,0.4531,2,2,2,1.0
157,Burkholderia~virus~phiE202,Caudovirales,Myoviridae,P2virus,60_0,Clustered,29,VC_60_0,29,0.8456,1.0,0.8456,2,2,2,1.0
158,Campylobacter~phage~CP30A,Caudovirales,Myoviridae,Cp8virus,176_0,Clustered,4,VC_176_0,4,0.8479,0.99985239,0.8478,2,2,2,1.0
159,Campylobacter~phage~PC14,Unassigned,Unassigned,Unassigned,176_0,Clustered,4,VC_176_0,4,0.8479,0.99985239,0.8478,2,2,2,1.0
160,Campylobacter~virus~CP21,Caudovirales,Myoviridae,Cp220virus,177_0,Clustered,3,VC_177_0,3,0.7406,0.99633944,0.7379,1,1,1,1.0
161,Campylobacter~virus~CP220,Caudovirales,Myoviridae,Cp220virus,177_0,Clustered,3,VC_177_0,3,0.7406,0.99633944,0.7379,1,1,1,1.0
162,Campylobacter~virus~CPX,Caudovirales,Myoviridae,Cp8virus,176_0,Clustered,4,VC_176_0,4,0.8479,0.99985239,0.8478,2,2,2,1.0
163,Campylobacter~virus~CPt10,Caudovirales,Myoviridae,Cp220virus,177_0,Clustered,3,VC_177_0,3,0.7406,0.99633944,0.7379,1,1,1,1.0
164,Campylobacter~virus~NCTC12673,Caudovirales,Myoviridae,Cp8virus,176_0,Clustered,4,VC_176_0,4,0.8479,0.99985239,0.8478,2,2,2,1.0
165,Caulobacter~phage~CcrColossus,Unassigned,Unassigned,Unassigned,180_2,Clustered/Singleton,1,VC_180_2,1,0.0,1.0,0.0,1,1,1,1.0
